time,GBP_USD_close,GBP_USD_volume
2019-01-01T22:00:00.000000000Z,1.27468,8
2019-01-01T22:05:00.000000000Z,1.27427,42
2019-01-01T22:10:00.000000000Z,1.27476,16
2019-01-01T22:15:00.000000000Z,1.27477,3
2019-01-01T22:20:00.000000000Z,1.27476,6
2019-01-01T22:25:00.000000000Z,1.27470,26
2019-01-01T22:30:00.000000000Z,1.27452,37
2019-01-01T22:35:00.000000000Z,1.27474,68
2019-01-01T22:40:00.000000000Z,1.27421,137
2019-01-01T22:45:00.000000000Z,1.27358,20
2019-01-01T22:50:00.000000000Z,1.27406,8
2019-01-01T22:55:00.000000000Z,1.27398,49
2019-01-01T23:00:00.000000000Z,1.27519,158
2019-01-01T23:05:00.000000000Z,1.27471,7
2019-01-01T23:10:00.000000000Z,1.27504,286
2019-01-01T23:15:00.000000000Z,1.27503,441
2019-01-01T23:20:00.000000000Z,1.27481,372
2019-01-01T23:25:00.000000000Z,1.27492,110
2019-01-01T23:30:00.000000000Z,1.27503,79
2019-01-01T23:35:00.000000000Z,1.27515,75
2019-01-01T23:40:00.000000000Z,1.27514,81
2019-01-01T23:45:00.000000000Z,1.27514,113
2019-01-01T23:50:00.000000000Z,1.27542,253
2019-01-01T23:55:00.000000000Z,1.27542,112
2019-01-02T00:00:00.000000000Z,1.27484,180
2019-01-02T00:05:00.000000000Z,1.27494,305
2019-01-02T00:10:00.000000000Z,1.27496,298
2019-01-02T00:15:00.000000000Z,1.27500,236
2019-01-02T00:20:00.000000000Z,1.27492,224
2019-01-02T00:25:00.000000000Z,1.27482,491
2019-01-02T00:30:00.000000000Z,1.27464,681
2019-01-02T00:35:00.000000000Z,1.27462,614
2019-01-02T00:40:00.000000000Z,1.27474,413
2019-01-02T00:45:00.000000000Z,1.27475,117
2019-01-02T00:50:00.000000000Z,1.27486,117
2019-01-02T00:55:00.000000000Z,1.27488,75
2019-01-02T01:00:00.000000000Z,1.27470,196
2019-01-02T01:05:00.000000000Z,1.27471,370
2019-01-02T01:10:00.000000000Z,1.27460,232
2019-01-02T01:15:00.000000000Z,1.27458,106
2019-01-02T01:20:00.000000000Z,1.27465,26
2019-01-02T01:25:00.000000000Z,1.27454,60
2019-01-02T01:30:00.000000000Z,1.27430,130
2019-01-02T01:35:00.000000000Z,1.27446,103
2019-01-02T01:40:00.000000000Z,1.27489,197
2019-01-02T01:45:00.000000000Z,1.27444,284
2019-01-02T01:50:00.000000000Z,1.27436,166
2019-01-02T01:55:00.000000000Z,1.27450,216
2019-01-02T02:00:00.000000000Z,1.27426,210
2019-01-02T02:05:00.000000000Z,1.27404,110
2019-01-02T02:10:00.000000000Z,1.27429,213
2019-01-02T02:15:00.000000000Z,1.27386,372
2019-01-02T02:20:00.000000000Z,1.27372,222
2019-01-02T02:25:00.000000000Z,1.27356,219
2019-01-02T02:30:00.000000000Z,1.27362,155
2019-01-02T02:35:00.000000000Z,1.27338,235
2019-01-02T02:40:00.000000000Z,1.27277,197
2019-01-02T02:45:00.000000000Z,1.27254,179
2019-01-02T02:50:00.000000000Z,1.27298,106
2019-01-02T02:55:00.000000000Z,1.27284,180
2019-01-02T03:00:00.000000000Z,1.27277,110
2019-01-02T03:05:00.000000000Z,1.27294,37
2019-01-02T03:10:00.000000000Z,1.27304,90
2019-01-02T03:15:00.000000000Z,1.27304,106
2019-01-02T03:20:00.000000000Z,1.27296,117
2019-01-02T03:25:00.000000000Z,1.27308,257
2019-01-02T03:30:00.000000000Z,1.27294,89
2019-01-02T03:35:00.000000000Z,1.27270,57
2019-01-02T03:40:00.000000000Z,1.27278,73
2019-01-02T03:45:00.000000000Z,1.27287,169
2019-01-02T03:50:00.000000000Z,1.27296,161
2019-01-02T03:55:00.000000000Z,1.27304,48
2019-01-02T04:00:00.000000000Z,1.27304,159
2019-01-02T04:05:00.000000000Z,1.27299,139
2019-01-02T04:10:00.000000000Z,1.27308,143
2019-01-02T04:15:00.000000000Z,1.27308,86
2019-01-02T04:20:00.000000000Z,1.27320,114
2019-01-02T04:25:00.000000000Z,1.27331,126
2019-01-02T04:30:00.000000000Z,1.27314,77
2019-01-02T04:35:00.000000000Z,1.27351,223
2019-01-02T04:40:00.000000000Z,1.27342,224
2019-01-02T04:45:00.000000000Z,1.27329,127
2019-01-02T04:50:00.000000000Z,1.27328,80
2019-01-02T04:55:00.000000000Z,1.27344,80
2019-01-02T05:00:00.000000000Z,1.27360,149
2019-01-02T05:05:00.000000000Z,1.27336,99
2019-01-02T05:10:00.000000000Z,1.27339,162
2019-01-02T05:15:00.000000000Z,1.27368,227
2019-01-02T05:20:00.000000000Z,1.27426,340
2019-01-02T05:25:00.000000000Z,1.27433,427
2019-01-02T05:30:00.000000000Z,1.27452,416
2019-01-02T05:35:00.000000000Z,1.27502,265
2019-01-02T05:40:00.000000000Z,1.27530,315
2019-01-02T05:45:00.000000000Z,1.27492,349
2019-01-02T05:50:00.000000000Z,1.27509,247
2019-01-02T05:55:00.000000000Z,1.27566,412
2019-01-02T06:00:00.000000000Z,1.27617,377
2019-01-02T06:05:00.000000000Z,1.27635,266
2019-01-02T06:10:00.000000000Z,1.27661,342
2019-01-02T06:15:00.000000000Z,1.27724,198
2019-01-02T06:20:00.000000000Z,1.27678,307
2019-01-02T06:25:00.000000000Z,1.27656,316
2019-01-02T06:30:00.000000000Z,1.27656,196
2019-01-02T06:35:00.000000000Z,1.27639,131
2019-01-02T06:40:00.000000000Z,1.27619,187
2019-01-02T06:45:00.000000000Z,1.27584,405
2019-01-02T06:50:00.000000000Z,1.27540,253
2019-01-02T06:55:00.000000000Z,1.27559,225
2019-01-02T07:00:00.000000000Z,1.27558,337
2019-01-02T07:05:00.000000000Z,1.27612,276
2019-01-02T07:10:00.000000000Z,1.27565,286
2019-01-02T07:15:00.000000000Z,1.27580,537
2019-01-02T07:20:00.000000000Z,1.27558,486
2019-01-02T07:25:00.000000000Z,1.27537,237
2019-01-02T07:30:00.000000000Z,1.27536,286
2019-01-02T07:35:00.000000000Z,1.27536,223
2019-01-02T07:40:00.000000000Z,1.27552,200
2019-01-02T07:45:00.000000000Z,1.27500,216
2019-01-02T07:50:00.000000000Z,1.27536,208
2019-01-02T07:55:00.000000000Z,1.27521,445
2019-01-02T08:00:00.000000000Z,1.27564,723
2019-01-02T08:05:00.000000000Z,1.27488,557
2019-01-02T08:10:00.000000000Z,1.27422,754
2019-01-02T08:15:00.000000000Z,1.27264,908
2019-01-02T08:20:00.000000000Z,1.27234,774
2019-01-02T08:25:00.000000000Z,1.27226,501
2019-01-02T08:30:00.000000000Z,1.27074,1668
2019-01-02T08:35:00.000000000Z,1.27126,822
2019-01-02T08:40:00.000000000Z,1.27003,860
2019-01-02T08:45:00.000000000Z,1.26996,578
2019-01-02T08:50:00.000000000Z,1.27011,744
2019-01-02T08:55:00.000000000Z,1.27111,633
2019-01-02T09:00:00.000000000Z,1.27124,853
2019-01-02T09:05:00.000000000Z,1.27173,699
2019-01-02T09:10:00.000000000Z,1.27198,378
2019-01-02T09:15:00.000000000Z,1.27174,452
2019-01-02T09:20:00.000000000Z,1.27026,499
2019-01-02T09:25:00.000000000Z,1.26953,716
2019-01-02T09:30:00.000000000Z,1.27131,1022
2019-01-02T09:35:00.000000000Z,1.26945,866
2019-01-02T09:40:00.000000000Z,1.26946,726
2019-01-02T09:45:00.000000000Z,1.26906,396
2019-01-02T09:50:00.000000000Z,1.26990,339
2019-01-02T09:55:00.000000000Z,1.26888,618
2019-01-02T10:00:00.000000000Z,1.26946,557
2019-01-02T10:05:00.000000000Z,1.27020,360
2019-01-02T10:10:00.000000000Z,1.26923,560
2019-01-02T10:15:00.000000000Z,1.26906,553
2019-01-02T10:20:00.000000000Z,1.26898,277
2019-01-02T10:25:00.000000000Z,1.26888,235
2019-01-02T10:30:00.000000000Z,1.26901,342
2019-01-02T10:35:00.000000000Z,1.26908,267
2019-01-02T10:40:00.000000000Z,1.26845,224
2019-01-02T10:45:00.000000000Z,1.26804,443
2019-01-02T10:50:00.000000000Z,1.26739,418
2019-01-02T10:55:00.000000000Z,1.26730,388
2019-01-02T11:00:00.000000000Z,1.26725,388
2019-01-02T11:05:00.000000000Z,1.26696,497
2019-01-02T11:10:00.000000000Z,1.26668,394
2019-01-02T11:15:00.000000000Z,1.26691,374
2019-01-02T11:20:00.000000000Z,1.26688,429
2019-01-02T11:25:00.000000000Z,1.26688,346
2019-01-02T11:30:00.000000000Z,1.26711,331
2019-01-02T11:35:00.000000000Z,1.26736,438
2019-01-02T11:40:00.000000000Z,1.26668,336
2019-01-02T11:45:00.000000000Z,1.26685,770
2019-01-02T11:50:00.000000000Z,1.26660,464
2019-01-02T11:55:00.000000000Z,1.26640,429
2019-01-02T12:00:00.000000000Z,1.26610,386
2019-01-02T12:05:00.000000000Z,1.26640,456
2019-01-02T12:10:00.000000000Z,1.26651,334
2019-01-02T12:15:00.000000000Z,1.26568,454
2019-01-02T12:20:00.000000000Z,1.26515,776
2019-01-02T12:25:00.000000000Z,1.26472,554
2019-01-02T12:30:00.000000000Z,1.26452,567
2019-01-02T12:35:00.000000000Z,1.26500,290
2019-01-02T12:40:00.000000000Z,1.26474,361
2019-01-02T12:45:00.000000000Z,1.26496,259
2019-01-02T12:50:00.000000000Z,1.26530,466
2019-01-02T12:55:00.000000000Z,1.26521,451
