time,GBP_JPY_close,GBP_JPY_volume
2019-01-01T22:00:00.000000000Z,139.760,15
2019-01-01T22:05:00.000000000Z,139.736,446
2019-01-01T22:10:00.000000000Z,139.788,296
2019-01-01T22:15:00.000000000Z,139.766,19
2019-01-01T22:20:00.000000000Z,139.780,26
2019-01-01T22:25:00.000000000Z,139.824,41
2019-01-01T22:30:00.000000000Z,139.774,725
2019-01-01T22:35:00.000000000Z,139.808,939
2019-01-01T22:40:00.000000000Z,139.762,420
2019-01-01T22:45:00.000000000Z,139.734,507
2019-01-01T22:50:00.000000000Z,139.770,1403
2019-01-01T22:55:00.000000000Z,139.776,609
2019-01-01T23:00:00.000000000Z,139.851,128
2019-01-01T23:05:00.000000000Z,139.830,57
2019-01-01T23:10:00.000000000Z,139.890,105
2019-01-01T23:15:00.000000000Z,139.894,100
2019-01-01T23:20:00.000000000Z,139.863,41
2019-01-01T23:25:00.000000000Z,139.883,51
2019-01-01T23:30:00.000000000Z,139.902,75
2019-01-01T23:35:00.000000000Z,139.864,24
2019-01-01T23:40:00.000000000Z,139.892,22
2019-01-01T23:45:00.000000000Z,139.856,64
2019-01-01T23:50:00.000000000Z,139.875,78
2019-01-01T23:55:00.000000000Z,139.892,54
2019-01-02T00:00:00.000000000Z,139.808,55
2019-01-02T00:05:00.000000000Z,139.792,210
2019-01-02T00:10:00.000000000Z,139.708,103
2019-01-02T00:15:00.000000000Z,139.746,99
2019-01-02T00:20:00.000000000Z,139.746,94
2019-01-02T00:25:00.000000000Z,139.690,82
2019-01-02T00:30:00.000000000Z,139.751,124
2019-01-02T00:35:00.000000000Z,139.764,65
2019-01-02T00:40:00.000000000Z,139.832,80
2019-01-02T00:45:00.000000000Z,139.797,78
2019-01-02T00:50:00.000000000Z,139.752,62
2019-01-02T00:55:00.000000000Z,139.788,82
2019-01-02T01:00:00.000000000Z,139.714,136
2019-01-02T01:05:00.000000000Z,139.760,107
2019-01-02T01:10:00.000000000Z,139.800,90
2019-01-02T01:15:00.000000000Z,139.776,59
2019-01-02T01:20:00.000000000Z,139.784,22
2019-01-02T01:25:00.000000000Z,139.786,27
2019-01-02T01:30:00.000000000Z,139.766,67
2019-01-02T01:35:00.000000000Z,139.778,108
2019-01-02T01:40:00.000000000Z,139.787,115
2019-01-02T01:45:00.000000000Z,139.768,149
2019-01-02T01:50:00.000000000Z,139.719,152
2019-01-02T01:55:00.000000000Z,139.706,161
2019-01-02T02:00:00.000000000Z,139.645,151
2019-01-02T02:05:00.000000000Z,139.618,104
2019-01-02T02:10:00.000000000Z,139.568,116
2019-01-02T02:15:00.000000000Z,139.482,167
2019-01-02T02:20:00.000000000Z,139.429,262
2019-01-02T02:25:00.000000000Z,139.396,166
2019-01-02T02:30:00.000000000Z,139.354,183
2019-01-02T02:35:00.000000000Z,139.262,179
2019-01-02T02:40:00.000000000Z,139.274,191
2019-01-02T02:45:00.000000000Z,139.236,112
2019-01-02T02:50:00.000000000Z,139.276,81
2019-01-02T02:55:00.000000000Z,139.284,118
2019-01-02T03:00:00.000000000Z,139.248,89
2019-01-02T03:05:00.000000000Z,139.263,90
2019-01-02T03:10:00.000000000Z,139.310,82
2019-01-02T03:15:00.000000000Z,139.279,65
2019-01-02T03:20:00.000000000Z,139.254,69
2019-01-02T03:25:00.000000000Z,139.244,78
2019-01-02T03:30:00.000000000Z,139.254,70
2019-01-02T03:35:00.000000000Z,139.252,74
2019-01-02T03:40:00.000000000Z,139.246,35
2019-01-02T03:45:00.000000000Z,139.274,61
2019-01-02T03:50:00.000000000Z,139.298,111
2019-01-02T03:55:00.000000000Z,139.320,98
2019-01-02T04:00:00.000000000Z,139.264,209
2019-01-02T04:05:00.000000000Z,139.238,91
2019-01-02T04:10:00.000000000Z,139.240,59
2019-01-02T04:15:00.000000000Z,139.234,32
2019-01-02T04:20:00.000000000Z,139.248,53
2019-01-02T04:25:00.000000000Z,139.256,56
2019-01-02T04:30:00.000000000Z,139.274,69
2019-01-02T04:35:00.000000000Z,139.293,83
2019-01-02T04:40:00.000000000Z,139.290,61
2019-01-02T04:45:00.000000000Z,139.286,55
2019-01-02T04:50:00.000000000Z,139.292,17
2019-01-02T04:55:00.000000000Z,139.316,44
2019-01-02T05:00:00.000000000Z,139.316,53
2019-01-02T05:05:00.000000000Z,139.327,53
2019-01-02T05:10:00.000000000Z,139.338,37
2019-01-02T05:15:00.000000000Z,139.346,85
2019-01-02T05:20:00.000000000Z,139.438,131
2019-01-02T05:25:00.000000000Z,139.426,115
2019-01-02T05:30:00.000000000Z,139.452,127
2019-01-02T05:35:00.000000000Z,139.454,113
2019-01-02T05:40:00.000000000Z,139.476,95
2019-01-02T05:45:00.000000000Z,139.456,80
2019-01-02T05:50:00.000000000Z,139.446,62
2019-01-02T05:55:00.000000000Z,139.446,149
2019-01-02T06:00:00.000000000Z,139.488,125
2019-01-02T06:05:00.000000000Z,139.406,142
2019-01-02T06:10:00.000000000Z,139.438,229
2019-01-02T06:15:00.000000000Z,139.421,137
2019-01-02T06:20:00.000000000Z,139.384,133
2019-01-02T06:25:00.000000000Z,139.376,121
2019-01-02T06:30:00.000000000Z,139.378,56
2019-01-02T06:35:00.000000000Z,139.355,80
2019-01-02T06:40:00.000000000Z,139.324,142
2019-01-02T06:45:00.000000000Z,139.332,152
2019-01-02T06:50:00.000000000Z,139.317,153
2019-01-02T06:55:00.000000000Z,139.382,125
2019-01-02T07:00:00.000000000Z,139.416,253
2019-01-02T07:05:00.000000000Z,139.388,199
