time,EUR_USD_close,EUR_USD_volume
2018-04-13T18:30:00.000000000Z,1.23334,19
2018-04-13T18:31:00.000000000Z,1.23336,16
2018-04-13T18:32:00.000000000Z,1.23336,14
2018-04-13T18:33:00.000000000Z,1.23335,21
2018-04-13T18:34:00.000000000Z,1.23335,19
2018-04-13T18:35:00.000000000Z,1.23336,14
2018-04-13T18:36:00.000000000Z,1.23338,18
2018-04-13T18:37:00.000000000Z,1.23328,8
2018-04-13T18:38:00.000000000Z,1.23335,16
2018-04-13T18:39:00.000000000Z,1.23331,2
2018-04-13T18:40:00.000000000Z,1.23333,18
2018-04-13T18:41:00.000000000Z,1.23336,2
2018-04-13T18:42:00.000000000Z,1.23335,18
2018-04-13T18:43:00.000000000Z,1.23328,17
2018-04-13T18:44:00.000000000Z,1.23344,13
2018-04-13T18:45:00.000000000Z,1.23340,9
2018-04-13T18:46:00.000000000Z,1.23340,6
2018-04-13T18:47:00.000000000Z,1.23342,17
2018-04-13T18:48:00.000000000Z,1.23326,15
2018-04-13T18:49:00.000000000Z,1.23314,58
2018-04-13T18:50:00.000000000Z,1.23315,31
2018-04-13T18:51:00.000000000Z,1.23301,18
2018-04-13T18:52:00.000000000Z,1.23314,29
2018-04-13T18:53:00.000000000Z,1.23310,33
2018-04-13T18:54:00.000000000Z,1.23304,26
2018-04-13T18:55:00.000000000Z,1.23316,29
2018-04-13T18:56:00.000000000Z,1.23316,13
2018-04-13T18:57:00.000000000Z,1.23314,16
2018-04-13T18:58:00.000000000Z,1.23306,14
2018-04-13T18:59:00.000000000Z,1.23314,46
2018-04-13T19:00:00.000000000Z,1.23344,106
2018-04-13T19:01:00.000000000Z,1.23361,56
2018-04-13T19:02:00.000000000Z,1.23358,56
2018-04-13T19:03:00.000000000Z,1.23364,30
2018-04-13T19:04:00.000000000Z,1.23352,23
2018-04-13T19:05:00.000000000Z,1.23360,59
2018-04-13T19:06:00.000000000Z,1.23349,22
2018-04-13T19:07:00.000000000Z,1.23364,30
2018-04-13T19:08:00.000000000Z,1.23364,26
2018-04-13T19:09:00.000000000Z,1.23362,34
2018-04-13T19:10:00.000000000Z,1.23364,23
2018-04-13T19:11:00.000000000Z,1.23366,31
2018-04-13T19:12:00.000000000Z,1.23357,46
2018-04-13T19:13:00.000000000Z,1.23353,47
2018-04-13T19:14:00.000000000Z,1.23369,21
2018-04-13T19:15:00.000000000Z,1.23386,106
2018-04-13T19:16:00.000000000Z,1.23393,84
2018-04-13T19:17:00.000000000Z,1.23396,39
2018-04-13T19:18:00.000000000Z,1.23398,49
2018-04-13T19:19:00.000000000Z,1.23406,109
2018-04-13T19:20:00.000000000Z,1.23403,66
2018-04-13T19:21:00.000000000Z,1.23388,66
2018-04-13T19:22:00.000000000Z,1.23370,38
2018-04-13T19:23:00.000000000Z,1.23364,52
2018-04-13T19:24:00.000000000Z,1.23364,22
2018-04-13T19:25:00.000000000Z,1.23362,39
2018-04-13T19:26:00.000000000Z,1.23362,25
2018-04-13T19:27:00.000000000Z,1.23365,18
