time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2018-04-13T18:30:00.000000000Z,1.23334,19.0,1.42455,21.0,107.460,14.0,0.86581,3.0,132.536,13.0,153.076,28.0
2018-04-13T18:31:00.000000000Z,1.23336,16.0,1.42450,9.0,107.464,15.0,0.86581,2.0,132.542,10.0,153.082,20.0
2018-04-13T18:32:00.000000000Z,1.23336,14.0,1.42444,14.0,107.466,13.0,0.86588,6.0,132.546,7.0,153.072,20.0
2018-04-13T18:33:00.000000000Z,1.23335,21.0,1.42430,22.0,107.480,37.0,0.86591,7.0,132.562,27.0,153.085,53.0
2018-04-13T18:34:00.000000000Z,1.23335,19.0,1.42430,3.0,107.468,29.0,0.86592,3.0,132.545,12.0,153.068,33.0
2018-04-13T18:35:00.000000000Z,1.23336,14.0,1.42434,31.0,107.472,13.0,0.86588,6.0,132.549,9.0,153.080,33.0
2018-04-13T18:36:00.000000000Z,1.23338,18.0,1.42438,30.0,107.459,19.0,0.86590,3.0,132.538,13.0,153.064,32.0
2018-04-13T18:37:00.000000000Z,1.23328,8.0,1.42418,21.0,107.460,14.0,0.86592,1.0,132.528,11.0,153.045,26.0
2018-04-13T18:38:00.000000000Z,1.23335,16.0,1.42420,26.0,107.460,12.0,0.86597,4.0,132.535,10.0,153.046,20.0
2018-04-13T18:39:00.000000000Z,1.23331,2.0,1.42418,6.0,107.466,11.0,0.86597,4.0,132.538,1.0,153.052,11.0
2018-04-13T18:40:00.000000000Z,1.23333,18.0,1.42416,15.0,107.449,10.0,0.86595,2.0,132.520,16.0,153.028,22.0
2018-04-13T18:41:00.000000000Z,1.23336,2.0,1.42417,19.0,107.452,5.0,0.86597,3.0,132.528,14.0,153.036,22.0
2018-04-13T18:42:00.000000000Z,1.23335,18.0,1.42417,13.0,107.456,17.0,0.86599,7.0,132.534,12.0,153.042,23.0
2018-04-13T18:43:00.000000000Z,1.23328,17.0,1.42410,3.0,107.456,6.0,0.86599,2.0,132.526,4.0,153.032,12.0
2018-04-13T18:44:00.000000000Z,1.23344,13.0,1.42422,14.0,107.459,21.0,0.86602,5.0,132.544,17.0,153.050,35.0
2018-04-13T18:45:00.000000000Z,1.23340,9.0,1.42422,23.0,107.454,10.0,0.86602,2.0,132.538,10.0,153.046,18.0
2018-04-13T18:46:00.000000000Z,1.23340,6.0,1.42425,13.0,107.462,7.0,0.86599,3.0,132.545,8.0,153.056,10.0
2018-04-13T18:47:00.000000000Z,1.23342,17.0,1.42426,25.0,107.457,30.0,0.86601,7.0,132.544,21.0,153.050,51.0
2018-04-13T18:48:00.000000000Z,1.23326,15.0,1.42404,14.0,107.463,13.0,0.86600,6.0,132.526,11.0,153.031,26.0
2018-04-13T18:49:00.000000000Z,1.23314,58.0,1.42358,129.0,107.458,26.0,0.86619,33.0,132.510,23.0,152.979,100.0
2018-04-13T18:50:00.000000000Z,1.23315,31.0,1.42358,27.0,107.456,19.0,0.86616,7.0,132.506,15.0,152.975,44.0
2018-04-13T18:51:00.000000000Z,1.23301,18.0,1.42350,9.0,107.478,19.0,0.86612,4.0,132.516,9.0,152.999,24.0
2018-04-13T18:52:00.000000000Z,1.23314,29.0,1.42359,41.0,107.462,41.0,0.86621,5.0,132.520,15.0,152.983,47.0
