time,EUR_USD_close,EUR_USD_volume,GBP_USD_close,GBP_USD_volume,USD_JPY_close,USD_JPY_volume,EUR_GBP_close,EUR_GBP_volume,EUR_JPY_close,EUR_JPY_volume,GBP_JPY_close,GBP_JPY_volume
2015-01-01T22:00:00.000000000Z,1.20020,24077.0,1.53278,19150.0,120.494,24090.0,0.78301,15466.0,144.612,23308.0,184.692,63434.0
2015-01-04T22:00:00.000000000Z,1.19324,32038.0,1.52506,20368.0,119.636,40813.0,0.78256,19093.0,142.764,35600.0,182.459,102020.0
2015-01-05T22:00:00.000000000Z,1.18902,30864.0,1.51517,19415.0,118.384,61074.0,0.78475,18685.0,140.768,45652.0,179.377,233658.0
2015-01-06T22:00:00.000000000Z,1.18392,38689.0,1.51106,25555.0,119.253,52882.0,0.78348,24310.0,141.194,44262.0,180.190,215103.0
2015-01-07T22:00:00.000000000Z,1.17927,26100.0,1.50903,16856.0,119.661,34393.0,0.78150,16783.0,141.110,29317.0,180.552,160570.0
2015-01-08T22:00:00.000000000Z,1.18412,36809.0,1.51576,25290.0,118.543,54277.0,0.78123,22543.0,140.374,44048.0,179.681,204404.0
2015-01-11T22:00:00.000000000Z,1.18336,24952.0,1.51718,15858.0,118.348,42064.0,0.77990,15735.0,140.061,31616.0,179.548,159875.0
2015-01-12T22:00:00.000000000Z,1.17724,29751.0,1.51603,19833.0,117.923,58017.0,0.77662,18987.0,138.828,44312.0,178.772,203866.0
2015-01-13T22:00:00.000000000Z,1.17896,39703.0,1.52344,23482.0,117.332,72968.0,0.77379,22006.0,138.326,55036.0,178.746,253510.0
2015-01-14T22:00:00.000000000Z,1.16332,122473.0,1.51845,86932.0,116.163,118038.0,0.76598,96113.0,135.124,133559.0,176.406,360715.0
2015-01-15T22:00:00.000000000Z,1.15679,66769.0,1.51449,43196.0,117.624,83282.0,0.76308,46233.0,135.929,82650.0,178.053,295531.0
2015-01-18T22:00:00.000000000Z,1.16070,27968.0,1.51118,19740.0,117.558,31738.0,0.76796,25599.0,136.438,33231.0,177.674,149516.0
2015-01-19T22:00:00.000000000Z,1.15509,26902.0,1.51440,16930.0,118.814,48669.0,0.76264,20767.0,137.250,40797.0,179.945,184737.0
2015-01-20T22:00:00.000000000Z,1.16108,43331.0,1.51436,28426.0,117.954,62297.0,0.76668,31266.0,136.956,58027.0,178.621,233308.0
2015-01-21T22:00:00.000000000Z,1.13662,73280.0,1.50112,43703.0,118.502,59978.0,0.75726,51618.0,134.688,74653.0,177.864,237447.0
2015-01-22T22:00:00.000000000Z,1.12039,70785.0,1.49896,40911.0,117.800,56402.0,0.74753,49451.0,131.981,70161.0,176.550,240672.0
2015-01-25T22:00:00.000000000Z,1.12378,52017.0,1.50804,35352.0,118.456,41435.0,0.74527,39062.0,133.114,51402.0,178.619,189533.0
2015-01-26T22:00:00.000000000Z,1.13813,53797.0,1.51975,28806.0,117.864,45778.0,0.74895,35487.0,134.142,50740.0,179.133,195701.0
2015-01-27T22:00:00.000000000Z,1.12874,50529.0,1.51397,31430.0,117.536,54288.0,0.74549,35330.0,132.690,52243.0,177.932,211661.0
2015-01-28T22:00:00.000000000Z,1.13199,42483.0,1.50675,21194.0,118.291,48739.0,0.75136,26876.0,133.886,44249.0,178.226,194982.0
2015-01-29T22:00:00.000000000Z,1.12853,44730.0,1.50692,27428.0,117.535,48271.0,0.74913,30321.0,132.666,45997.0,177.116,210367.0
2015-02-01T22:00:00.000000000Z,1.13410,35693.0,1.50384,25783.0,117.598,44761.0,0.75404,26082.0,133.376,39329.0,176.870,203390.0
2015-02-02T22:00:00.000000000Z,1.14788,49541.0,1.51659,32015.0,117.568,46363.0,0.75682,33810.0,134.932,49799.0,178.290,221471.0
2015-02-03T22:00:00.000000000Z,1.13450,43477.0,1.51818,26502.0,117.262,41842.0,0.74726,32048.0,133.050,43009.0,178.019,208947.0
2015-02-04T22:00:00.000000000Z,1.14776,45354.0,1.53284,25806.0,117.530,33930.0,0.74863,32637.0,134.884,41755.0,180.158,201861.0
2015-02-05T22:00:00.000000000Z,1.13170,38926.0,1.52427,24509.0,119.134,39290.0,0.74214,26360.0,134.801,40680.0,181.645,184793.0
2015-02-08T22:00:00.000000000Z,1.13250,30065.0,1.52139,18708.0,118.633,31775.0,0.74428,20347.0,134.352,33326.0,180.506,156598.0
2015-02-09T22:00:00.000000000Z,1.13217,33671.0,1.52542,17723.0,119.423,32437.0,0.74218,20306.0,135.204,35098.0,182.180,158163.0
2015-02-10T22:00:00.000000000Z,1.13364,30234.0,1.52381,19674.0,120.462,31682.0,0.74400,21702.0,136.563,31708.0,183.536,150862.0
2015-02-11T22:00:00.000000000Z,1.14024,45479.0,1.53847,31215.0,119.109,57160.0,0.74122,32837.0,135.826,56394.0,183.255,232911.0
2015-02-12T22:00:00.000000000Z,1.13915,28987.0,1.53967,18550.0,118.799,34850.0,0.73960,21543.0,135.384,35084.0,182.971,164706.0
2015-02-15T22:00:00.000000000Z,1.13544,21781.0,1.53635,32231.0,118.480,28226.0,0.73894,26777.0,134.536,27883.0,182.010,138993.0
2015-02-16T22:00:00.000000000Z,1.14111,32632.0,1.53538,18374.0,119.242,30093.0,0.74320,21534.0,136.064,34656.0,183.100,147332.0
2015-02-17T22:00:00.000000000Z,1.13974,31899.0,1.54360,22865.0,118.786,37112.0,0.73826,23410.0,135.388,37737.0,183.350,177084.0
2015-02-18T22:00:00.000000000Z,1.13677,29178.0,1.54141,17263.0,118.943,28449.0,0.73744,22054.0,135.226,31354.0,183.363,151508.0
