time,USD_JPY_close,USD_JPY_volume,GBP_USD_close,GBP_USD_volume,GBP_JPY_close,GBP_JPY_volume
2019-01-01T22:00:00.000000000Z,109.673,3.0,1.27468,8.0,139.760,15.0
2019-01-01T22:05:00.000000000Z,109.669,1.0,1.27427,42.0,139.736,446.0
2019-01-01T22:10:00.000000000Z,109.650,6.0,1.27476,16.0,139.788,296.0
2019-01-01T22:15:00.000000000Z,109.635,14.0,1.27477,3.0,139.766,19.0
2019-01-01T22:20:00.000000000Z,109.651,13.0,1.27476,6.0,139.780,26.0
2019-01-01T22:25:00.000000000Z,109.666,20.0,1.27470,26.0,139.824,41.0
2019-01-01T22:30:00.000000000Z,109.654,17.0,1.27452,37.0,139.774,725.0
2019-01-01T22:35:00.000000000Z,109.668,7.0,1.27474,68.0,139.808,939.0
2019-01-01T22:40:00.000000000Z,109.678,20.0,1.27421,137.0,139.762,420.0
2019-01-01T22:45:00.000000000Z,109.692,39.0,1.27358,20.0,139.734,507.0
2019-01-01T22:50:00.000000000Z,109.682,335.0,1.27406,8.0,139.770,1403.0
2019-01-01T22:55:00.000000000Z,109.684,7.0,1.27398,49.0,139.776,609.0
2019-01-01T23:00:00.000000000Z,109.668,49.0,1.27519,158.0,139.851,128.0
2019-01-01T23:05:00.000000000Z,109.669,40.0,1.27471,7.0,139.830,57.0
2019-01-01T23:10:00.000000000Z,109.704,123.0,1.27504,286.0,139.890,105.0
2019-01-01T23:15:00.000000000Z,109.708,116.0,1.27503,441.0,139.894,100.0
2019-01-01T23:20:00.000000000Z,109.704,27.0,1.27481,372.0,139.863,41.0
2019-01-01T23:25:00.000000000Z,109.709,54.0,1.27492,110.0,139.883,51.0
2019-01-01T23:30:00.000000000Z,109.714,50.0,1.27503,79.0,139.902,75.0
2019-01-01T23:35:00.000000000Z,109.672,17.0,1.27515,75.0,139.864,24.0
2019-01-01T23:40:00.000000000Z,109.697,18.0,1.27514,81.0,139.892,22.0
2019-01-01T23:45:00.000000000Z,109.666,47.0,1.27514,113.0,139.856,64.0
2019-01-01T23:50:00.000000000Z,109.660,47.0,1.27542,253.0,139.875,78.0
2019-01-01T23:55:00.000000000Z,109.672,33.0,1.27542,112.0,139.892,54.0
